x_mm,r_mm
2.846153846153845990e+01,1.212145884458564993e+01
2.854515050167223933e+01,1.215360801663980794e+01
2.862876254180601876e+01,1.218574990820300918e+01
2.871237458193979819e+01,1.221788197961707034e+01
2.879598662207357762e+01,1.225000169122381521e+01
2.887959866220735705e+01,1.228210650336506760e+01
2.896321070234113648e+01,1.231419387638264595e+01
2.904682274247491591e+01,1.234626127061837053e+01
2.913043478260869534e+01,1.237830614641406513e+01
2.921404682274247477e+01,1.241032596411154998e+01
2.929765886287625420e+01,1.244231818405264356e+01
2.938127090301003363e+01,1.247428026657917499e+01
2.946488294314381307e+01,1.250620967203295919e+01
2.954849498327759250e+01,1.253810386075581640e+01
2.963210702341137193e+01,1.256996029308957219e+01
2.971571906354515136e+01,1.260177642937604503e+01
2.979933110367893079e+01,1.263354972995705872e+01
2.988294314381271022e+01,1.266527765517443349e+01
2.996655518394648965e+01,1.269695766536998960e+01
3.005016722408026908e+01,1.272858722088554906e+01
3.013377926421404851e+01,1.276016378206293389e+01
3.021739130434782794e+01,1.279168480924396611e+01
3.030100334448160737e+01,1.282314776277046420e+01
3.038461538461538680e+01,1.285455010298425194e+01
3.046822742474916623e+01,1.288588929022715313e+01
3.055183946488294566e+01,1.291716278484098090e+01
3.063545150501672154e+01,1.294836804716756262e+01
3.071906354515050097e+01,1.297950253754872207e+01
3.080267558528428040e+01,1.301056371632627418e+01
3.088628762541805983e+01,1.304154904384204627e+01
3.096989966555183926e+01,1.307245598043785328e+01
3.105351170568561869e+01,1.310328198645552256e+01
3.113712374581939812e+01,1.313402452223686900e+01
3.122073578595317755e+01,1.316468104812371998e+01
3.130434782608695699e+01,1.319524902445789394e+01
3.138795986622073642e+01,1.322572591158121469e+01
3.147157190635451585e+01,1.325610916983550247e+01
3.155518394648829528e+01,1.328639625956257575e+01
3.163879598662207471e+01,1.331658464110426010e+01
3.172240802675585414e+01,1.334667177480237221e+01
3.180602006688963357e+01,1.337665512099873943e+01
3.188963210702341300e+01,1.340653214003517313e+01
3.197324414715718888e+01,1.343630029225350597e+01
3.205685618729096831e+01,1.346595703799555288e+01
3.214046822742474774e+01,1.349549983760314120e+01
3.222408026755852717e+01,1.352492615141808230e+01
3.230769230769230660e+01,1.355423343978220707e+01
3.239130434782608603e+01,1.358341916303733043e+01
3.247491638795986546e+01,1.361248078152527619e+01
3.255852842809364489e+01,1.364141575558786990e+01
3.264214046822742432e+01,1.367022154556692293e+01
3.272575250836120375e+01,1.369889561180426441e+01
3.280936454849498318e+01,1.372743541464171457e+01
3.289297658862876261e+01,1.375583841442109367e+01
3.297658862876254204e+01,1.378410207148422195e+01
3.306020066889632147e+01,1.381222384617292320e+01
3.314381270903010090e+01,1.384020119882901589e+01
3.322742474916388034e+01,1.386803158979432737e+01
3.331103678929765977e+01,1.389571247941066723e+01
3.339464882943143920e+01,1.392324132801986813e+01
3.347826086956521863e+01,1.395061559596375034e+01
3.356187290969899806e+01,1.397783274358412875e+01
3.364548494983277749e+01,1.400489023122282894e+01
3.372909698996655692e+01,1.403178551922167294e+01
3.381270903010033635e+01,1.405851606792247921e+01
3.389632107023410867e+01,1.408507933766706977e+01
3.397993311036789521e+01,1.411147278879726841e+01
3.406354515050166754e+01,1.413769388165489183e+01
3.414715719063545407e+01,1.416374007658177092e+01
3.423076923076922640e+01,1.418960883391971350e+01
3.431438127090301293e+01,1.421529761401055048e+01
3.439799331103678526e+01,1.424080387719609853e+01
3.448160535117057179e+01,1.426612508381818678e+01
3.456521739130434412e+01,1.429125869421862838e+01
3.464882943143813065e+01,1.431620216873924711e+01
3.473244147157190298e+01,1.434095296772185790e+01
3.481605351170568952e+01,1.436550855150829875e+01
3.489966555183946184e+01,1.438986638044037214e+01
3.498327759197324838e+01,1.441402391485991430e+01
3.506688963210702070e+01,1.443797861510873837e+01
3.515050167224080724e+01,1.446172794152866459e+01
3.523411371237457956e+01,1.448526935446152031e+01
3.531772575250836610e+01,1.450860031424912577e+01
3.540133779264213842e+01,1.453171828123329590e+01
3.548494983277592496e+01,1.455462071575585981e+01
3.556856187290969729e+01,1.457730507815863241e+01
3.565217391304347672e+01,1.459976882878344284e+01
3.573578595317725615e+01,1.462200942797210423e+01
3.581939799331103558e+01,1.464402433606644394e+01
3.590301003344481501e+01,1.466581101340827509e+01
3.598662207357859444e+01,1.468736692033943037e+01
3.607023411371237387e+01,1.470868951720172468e+01
3.615384615384615330e+01,1.472977626433698006e+01
3.623745819397993273e+01,1.475062462208701142e+01
3.632107023411371216e+01,1.477123205079365675e+01
3.640468227424749159e+01,1.479159601079872566e+01
3.648829431438127102e+01,1.481171396244403837e+01
3.657190635451505045e+01,1.483158336607141514e+01
3.665551839464882988e+01,1.485120168202268509e+01
3.673913043478260931e+01,1.487056637063966846e+01
3.682274247491638874e+01,1.488967489226418373e+01
3.690635451505016817e+01,1.490852470723804579e+01
3.698996655518394761e+01,1.492711327590308734e+01
3.707357859531772704e+01,1.494543805860112151e+01
3.715719063545150647e+01,1.496349651567397920e+01
3.724080267558528590e+01,1.498128610746347178e+01
3.732441471571905822e+01,1.499880429431141948e+01
3.740802675585284476e+01,1.501604853655965499e+01
3.749163879598661708e+01,1.503301629454998967e+01
3.757525083612040362e+01,1.504970502862425086e+01
3.765886287625417594e+01,1.506611219912425526e+01
3.774247491638796248e+01,1.508223526639182843e+01
3.782608695652173481e+01,1.509807169076878708e+01
3.790969899665552134e+01,1.511361893259695677e+01
3.799331103678929367e+01,1.512887445221815419e+01
3.807692307692308020e+01,1.514383570997420669e+01
3.816053511705685253e+01,1.515850016620693097e+01
3.824414715719063906e+01,1.517286528125815259e+01
3.832775919732441139e+01,1.518692851546968470e+01
3.841137123745819792e+01,1.520068732918335641e+01
3.849498327759197025e+01,1.521413918274098975e+01
3.857859531772575679e+01,1.522728153648439964e+01
3.866220735785952911e+01,1.524011185075540986e+01
3.874581939799331565e+01,1.525262758589584777e+01
3.882943143812708797e+01,1.526482620224752651e+01
3.891304347826087451e+01,1.527670516015227342e+01
3.899665551839464683e+01,1.528826191995189987e+01
3.908026755852842626e+01,1.529949394198824031e+01
3.916387959866220569e+01,1.531039868660310788e+01
3.924749163879598512e+01,1.532097361413832637e+01
3.933110367892976456e+01,1.533121618493572136e+01
3.941471571906354399e+01,1.534112385933710421e+01
3.949832775919732342e+01,1.535069409768430226e+01
3.958193979933110285e+01,1.535992436031913932e+01
3.966555183946488228e+01,1.536881210758343208e+01
3.974916387959866171e+01,1.537735479981900255e+01
3.983277591973244114e+01,1.538554989736767453e+01
3.991638795986622057e+01,1.539339486057126649e+01
4.000000000000000000e+01,1.540088714977160045e+01
